,0
285,6653.4929
286,5876.2095
287,6122.2956
288,6386.0337
289,6626.8386
290,7024.2014
291,7316.1579
292,10260.865
293,13886.456
294,23483.317
295,37849.904
296,62451.425
297,94898.917
298,135270.43
299,182433.7
300,241394.88
301,287520.28
302,319873.74
303,342303.07
304,336208.08
305,315216.84
306,279171.49
307,232657.3
308,178335.98
309,130067.86
310,88411.426
311,59087.087
312,39576.979
313,26794.089
314,18397.983
315,14479.378
316,12911.726
317,11588.592
318,11761.909
319,11191.507
320,10530.006
321,11146.257
322,11314.393
323,11912.699
324,11695.541
325,12022.078
326,12441.817
327,11845.355
328,12418.252
329,13321.17
330,13770.935
331,13632.537
332,13889.064
333,13995.661
334,14461.589
335,15617.754
336,15960.25
337,16244.102
338,16043.925
339,16079.323
340,16043.25
341,16936.755
342,16627.793
343,17161.625
344,17131.21
345,17521.335
346,17128.905
347,17895.517
348,18407.599
349,17903.847
350,19312.578
351,19314.657
352,19225.446
353,20647.931
354,20147.254
355,21801.102
356,22885.399
357,22042.809
358,22809.622
359,22651.725
360,22743.291
361,23580.36
362,24726.138
363,24681.118
364,24724.895
365,26133.647
366,27417.423
367,27098.818
368,26806.055
369,26614.002
370,28160.718
371,26495.996
372,25008.173
373,25655.816
374,25713.425
375,24403.785
376,25449.984
377,24114.136
378,23086.407
379,22966.664
380,22087.746
381,21605.055
382,21852.539
383,20901.495
384,19587.821
385,18862.525
386,18701.207
387,17701.991
388,16697.471
389,16525.1
390,15876.389
391,14920.32
392,14769.689
393,14474.212
394,13818.592
395,12862.301
396,12834.989
397,11727.226
398,11516.002
399,11115.722
400,11119.338
401,10565.24
402,10414.832
403,10333.614
404,9443.3337
405,10389.905
406,9555.782
407,10335.658
408,9663.5825
409,9357.6882
410,9326.8147
411,9502.1716
412,9660.8711
413,9387.3271
414,9341.0945
415,9230.3037
416,9289.5149
417,8877.1533
418,9181.697
419,8900.6223
420,8321.4485
421,8260.5261
422,8360.5144
423,7724.719
424,7977.5928
425,7694.0456
426,8025.1572
427,7511.292
428,7549.383
429,6943.0444
430,7513.2422
431,7623.1997
432,7185.4936
433,6888.0012
434,7488.147
435,6907.4255
436,6784.3796
437,6703.2912
438,6843.2312
439,6389.376
440,7035.0488
441,6571.0273
442,6447.1074
443,5871.2598
444,6265.1323
445,6293.4787
446,6442.8789
447,6174.2253
448,5517.8108
449,5439.3254
450,5396.1584
